Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,1,0.75,0.5,0.25,0,0
P Doesn't File,False Negatives,Probabilities,2.0531706268509795E-08,8.182626506278989E-05,0.009660592783512929,0.0564409610840008,0,0.08870714502194614
D Doesn't Answer,False Negatives,Values,0.30000000000000004,0.050000000000000044,0,0
D Doesn't Answer,False Negatives,Probabilities,0.19967300790881892,0.1681590582508771,0,0.03039373729434997
Settles,False Negatives,Values,1.2,1.1,1,0.95,0.9,0.8999999999999999,0.85,0.8,0.75,0.7,0.65,0.6499999999999999,0.6000000000000001,0.6,0.55,0.5,0.45,0.44999999999999996,0.4,0.39999999999999997,0.3999999999999999,0.35000000000000003,0.35,0.3,0.25,0.2,0.19999999999999998,0.15000000000000002,0.14999999999999997,0.1499999999999999,0.10000000000000003,0.09999999999999998,0.04999999999999999,0,0
Settles,False Negatives,Probabilities,3.279668194204549E-21,1.3553235799970704E-13,5.154974363741694E-09,2.4404873811836807E-12,4.8510678861699936E-27,2.4446215293412586E-07,6.730807654293177E-08,3.0400385201279586E-05,6.627706121963372E-05,1.3652121519970402E-06,7.028910744017257E-23,0.002378806383042808,3.082450680822882E-20,0.00023546320418083456,0.013367835996397012,0.010902863592212937,4.204227872812313E-19,0.0011182138678074065,1.9273851597650005E-21,0.05616178695963806,1.3814552297715914E-19,3.161569351109633E-19,0.007382004737148337,0.06546190809451863,0.04513548187029584,1.448270483439675E-19,0.012688469123607203,1.1634023834504785E-22,0.027436035026671843,2.561260288974877E-19,6.738475265855353E-20,0.015376438523201655,0.014016354430335488,0,0.03104753763606824
P Abandons,False Negatives,Values,1.3,1.05,0.8,0.55,0.3,0
P Abandons,False Negatives,Probabilities,6.80313145452266E-12,2.7020165372278615E-06,0.0021331162041537703,0.023875053006509255,0.022425063832574383,0
D Defaults,False Negatives,Values,0.30000000000000004,0.050000000000000044,0,0
D Defaults,False Negatives,Probabilities,9.274845125749418E-05,0.0051958615064954155,0,0.005922120617904795
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,2.2,1.95,1.7,1.45,1.2,0.95,0.75,0.7,0.5,0.25,0,0
P Wins,False Negatives,Probabilities,4.045416826751211E-10,4.81608077474293E-06,0.0006998615137744423,0.012636513718478602,0.03265464682434469,0.002774100854855942,1.7129128200792557E-17,1.555918475787463E-05,1.964241239319918E-09,0.00012939967373312076,0,0.03551452596650838
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0,0.15489054568622884
D Doesn't Answer,False Positives,Values,1,1,0.75,0.5,0.25,0
D Doesn't Answer,False Positives,Probabilities,0,3.806547519181554E-08,0.0001941614863185718,0.030199537742556206,0.1681590582508771,0.19967300790881892
Settles,False Positives,Values,1.2,1.2,1.1,1.1,1,1,0.95,0.8999999999999999,0.8999999999999999,0.8500000000000001,0.8,0.8,0.75,0.7,0.7,0.6499999999999999,0.6000000000000001,0.6,0.6,0.55,0.5,0.5,0.44999999999999996,0.4,0.4,0.3999999999999999,0.3500000000000001,0.35,0.30000000000000004,0.25,0.19999999999999996,0.15000000000000002,0.1499999999999999,0.10000000000000009,0.09999999999999998,0.050000000000000044,0
