z,1,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
p1,0.22645,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32667,0.33,0.33333,0.33667,0.34,0.34333,0.34667,0.35,0.35333,0.35667,0.36,0.36333,0.36667,0.37,0.37333,0.37667,0.38,0.38333,0.38667,0.39,0.39333,0.39667,0.4,0.40333,0.40667,0.41,0.41333,0.41667,0.42,0.42333,0.42667,0.43,0.43333,0.43667,0.44,0.44333,0.44667,0.45,0.45333,0.45667,0.46,0.46333,0.46667,0.47,0.47333
d1,0.22645,0.18,0.18667,0.19333,0.2,0.20667,0.21333,0.22,0.22667,0.23333,0.24,0.24667,0.25333,0.26,0.26667,0.27333,0.28,0.28667,0.29333,0.3,0.30667,0.31333,0.32,0.32667,0.33333,0.34,0.34667,0.35333,0.36,0.36667,0.37333,0.38,0.38667,0.39333,0.4,0.40667,0.41333,0.42,0.42667,0.43333,0.44,0.44667,0.45333,0.46,0.46667,0.47333,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763
p2,0.06884,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32667,0.33,0.33333,0.33667,0.34,0.34333,0.34667,0.35,0.35333,0.35667,0.36,0.36333,0.36667,0.37,0.37333,0.37667,0.38,0.38333,0.38667,0.39,0.39333,0.39667,0.4,0.40333,0.40667,0.41,0.41333,0.41667,0.42,0.42333,0.42667,0.43,0.43333,0.43667,0.44,0.44333,0.44667,0.45,0.45333,0.45667,0.46,0.46333,0.46667,0.47,0.47333
d2,0.06884,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444,0.50444
p3,0.0565,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32519,0.32667,0.33,0.33333,0.33667,0.34,0.34333,0.34667,0.35,0.35333,0.35667,0.36,0.36333,0.36667,0.37,0.37333,0.37667,0.38,0.38333,0.38667,0.39,0.39333,0.39667,0.4,0.40333,0.40667,0.41,0.41333,0.41667,0.42,0.42333,0.42667,0.43,0.43333,0.43667,0.44,0.44333,0.44667,0.45,0.45333,0.45667,0.46,0.46333,0.46667,0.47,0.47333
d3,0.0565,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333
p4,0.08492,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333
d4,0.08492,0.18,0.18667,0.19333,0.2,0.20667,0.21333,0.22,0.22667,0.23333,0.24,0.24667,0.25333,0.26,0.26667,0.27333,0.28,0.28667,0.29333,0.3,0.30667,0.31333,0.32,0.32667,0.33333,0.34,0.34667,0.35333,0.36,0.36667,0.37333,0.38,0.38667,0.39333,0.4,0.40667,0.41333,0.42,0.42667,0.43333,0.44,0.44667,0.45333,0.46,0.46667,0.47333,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763
p5,0.02582,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333,0.47333
