"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","DWins",0.1184,0,0.118361,0.351825,1,1,1,1,0.745853,0.15857,,,0,,,,,0,0,1,0,9.85,10,999.935,1000,0.15,0,0.342588,0.342588,0,0.393977,0,0,0,,0,0,0,0.297903,0,1.21897,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","Abandoned",0.0323,0,0.0323303,0.541027,1,1,1,1,0.768348,0.283551,,,0,,,,,0.405597,0.593715,0,,10.5378,9.34969,1000.09,999.185,0.1125,0.129647,0.0678545,0.197501,0.0869939,0.0424999,0,0,0,,0.405941,0.594059,0.000687881,0.555225,0,-0.404176,1,1,0,0,0,0.405597,0.593715,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","Rounds1",1,0,0.999978,0.499998,1,1,1,1,0.543946,0.453808,,,0.737597,,,,,0.0131134,0.0191954,0.230094,0.485585,10.4387,9.4402,1000.08,999.387,0.121129,0.166504,0.154722,0.321225,0.109564,0.107663,0,0,0.737597,0.500014,0.0131134,0.0191954,0,0.499997,0,7.81593E-05,1,1,0,0,0.737597,0.0131134,0.0191954,0.118364,0.11173
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
