"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","0.07567","0.9978","All",1,0,1,0.499999,1,1,1,1,0.508561,0.501017,,,0.649451,,,,,0.0771683,0.0911483,0.126579,0.499946,10.4703,9.44525,1000.09,999.467,0.0844934,0.28607,0.263623,0.549693,0.211918,0.196535,0,0,0.649451,0.508503,0.104995,0.118975,0.0556536,0.499999,0,-5.093E-05,1,1,0,0,0.649451,0.0771683,0.0911483,0.0632963,0.0632827
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","0.07567","0.9978","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","0.07567","0.9978","DisputeArises",1,0,1,0.499999,1,1,1,1,0.508561,0.501017,,,0.649451,,,,,0.0771683,0.0911483,0.126579,0.499946,10.4703,9.44525,1000.09,999.467,0.0844934,0.28607,0.263623,0.549693,0.211918,0.196535,0,0,0.649451,0.508503,0.104995,0.118975,0.0556536,0.499999,0,-5.093E-05,1,1,0,0,0.649451,0.0771683,0.0911483,0.0632963,0.0632827
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","0.07567","0.9978","PFiles",1,0,1,0.499999,1,1,1,1,0.508561,0.501017,,,0.649451,,,,,0.0771683,0.0911483,0.126579,0.499946,10.4703,9.44525,1000.09,999.467,0.0844934,0.28607,0.263623,0.549693,0.211918,0.196535,0,0,0.649451,0.508503,0.104995,0.118975,0.0556536,0.499999,0,-5.093E-05,1,1,0,0,0.649451,0.0771683,0.0911483,0.0632963,0.0632827
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","0.07567","0.9978","DAnswers",1,0,1,0.499999,1,1,1,1,0.508561,0.501017,,,0.649451,,,,,0.0771683,0.0911483,0.126579,0.499946,10.4703,9.44525,1000.09,999.467,0.0844934,0.28607,0.263623,0.549693,0.211918,0.196535,0,0,0.649451,0.508503,0.104995,0.118975,0.0556536,0.499999,0,-5.093E-05,1,1,0,0,0.649451,0.0771683,0.0911483,0.0632963,0.0632827
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","0.07567","0.9978","Litigated",1,0,1,0.499999,1,1,1,1,0.508561,0.501017,,,0.649451,,,,,0.0771683,0.0911483,0.126579,0.499946,10.4703,9.44525,1000.09,999.467,0.0844934,0.28607,0.263623,0.549693,0.211918,0.196535,0,0,0.649451,0.508503,0.104995,0.118975,0.0556536,0.499999,0,-5.093E-05,1,1,0,0,0.649451,0.0771683,0.0911483,0.0632963,0.0632827
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","0.07567","0.9978","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","0.07567","0.9978","Settles",0.6495,0,0.649451,0.500207,1,1,1,1,0.429981,0.587026,,,1,,,,,0,0,0,,10.471,9.454,1000.11,999.61,0.075,0.272644,0.264416,0.537059,0.158016,0.148986,0,0,1,0.508503,0,0,0,0.500256,0,-0.016571,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","0.07567","0.9978","Tried",0.1266,0,0.126579,0.499714,1,1,1,1,0.641871,0.340541,,,0,,,,,0,0,1,0.499946,10.4249,9.42507,1000.03,999.025,0.15,0.342274,0.281121,0.623395,0.358499,0.344373,0,0,0,,0,0,0,0.499647,0,0.120313,1,1,0,0,0,0,0,0.500054,0.499946
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","0.07567","0.9978","PWins",0.0633,0,0.0632827,0.532622,1,1,1,1,0.641862,0.340628,,,0,,,,,0,0,1,1,11.075,8.775,1000.16,998.024,0.15,0.684621,0,0.684621,0.717076,0,0,0,0,,0,0,0,0.540379,0,0.120069,1,1,0,0,0,0,0,0,1
