"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0.004125","0.9994","All",1,0,1,0.500003,1,1,1,1,0.535553,0.475702,,,0.829149,,,,,0.0154499,0,0.155401,0.500003,10.4561,9.4572,1000.08,999.431,0.0866551,0.14316,0.138273,0.281432,0.089477,0.0885185,0,0,0.829149,0.508685,0.0154499,0,0,0.500004,0,-4.37299E-07,1,1,0,0,0.829149,0.0154499,0,0.0776999,0.0777009
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0.004125","0.9994","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0.004125","0.9994","DisputeArises",1,0,1,0.500003,1,1,1,1,0.535553,0.475702,,,0.829149,,,,,0.0154499,0,0.155401,0.500003,10.4561,9.4572,1000.08,999.431,0.0866551,0.14316,0.138273,0.281432,0.089477,0.0885185,0,0,0.829149,0.508685,0.0154499,0,0,0.500004,0,-4.37299E-07,1,1,0,0,0.829149,0.0154499,0,0.0776999,0.0777009
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0.004125","0.9994","PFiles",1,0,1,0.500003,1,1,1,1,0.535553,0.475702,,,0.829149,,,,,0.0154499,0,0.155401,0.500003,10.4561,9.4572,1000.08,999.431,0.0866551,0.14316,0.138273,0.281432,0.089477,0.0885185,0,0,0.829149,0.508685,0.0154499,0,0,0.500004,0,-4.37299E-07,1,1,0,0,0.829149,0.0154499,0,0.0776999,0.0777009
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0.004125","0.9994","DAnswers",1,0,1,0.500003,1,1,1,1,0.535553,0.475702,,,0.829149,,,,,0.0154499,0,0.155401,0.500003,10.4561,9.4572,1000.08,999.431,0.0866551,0.14316,0.138273,0.281432,0.089477,0.0885185,0,0,0.829149,0.508685,0.0154499,0,0,0.500004,0,-4.37299E-07,1,1,0,0,0.829149,0.0154499,0,0.0776999,0.0777009
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0.004125","0.9994","Litigated",1,0,1,0.500003,1,1,1,1,0.535553,0.475702,,,0.829149,,,,,0.0154499,0,0.155401,0.500003,10.4561,9.4572,1000.08,999.431,0.0866551,0.14316,0.138273,0.281432,0.089477,0.0885185,0,0,0.829149,0.508685,0.0154499,0,0,0.500004,0,-4.37299E-07,1,1,0,0,0.829149,0.0154499,0,0.0776999,0.0777009
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0.004125","0.9994","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0.004125","0.9994","Settles",0.8291,0,0.829149,0.504259,1,1,1,1,0.492053,0.525317,,,1,,,,,0,0,0,,10.4712,9.45381,1000.09,999.46,0.075,0.12369,0.121635,0.245326,0.0629312,0.059137,0,0,1,0.508685,0,0,0,0.506167,0,-0.132271,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0.004125","0.9994","Tried",0.1554,0,0.155401,0.500001,1,1,1,1,0.759639,0.24601,,,0,,,,,0,0,1,0.500003,10.425,9.425,1000.06,999.223,0.15,0.258174,0.223333,0.481506,0.239894,0.235973,0,0,0,,0,0,0,0.500002,0,0.690079,1,1,0,0,0,0,0,0.499997,0.500003
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0.004125","0.9994","PWins",0.0777,0,0.0777009,0.572809,1,1,1,1,0.798146,0.286958,,,0,,,,,0,0,1,1,10.9625,8.8875,1000.16,998.46,0.15,0.493118,0.0232268,0.516345,0.478913,0.000871006,0,0,0,,0,0,0,0.619382,0,0.690093,1,1,0,0,0,0,0,0,1
