"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","All",1,0,1,0.499999,1,1,1,1,0.467664,0.269447,,,0.658057,,,,,0.0345171,0.115505,0.183883,0.258669,10.2763,9.54617,1000.04,999.513,0.177583,0.133435,0.248972,0.382407,0.0723604,0.209795,0,0,0.658057,0.310931,0.0385361,0.119524,0.00803792,0.499999,0,4.5156E-06,1,1,0,0,0.658057,0.0345171,0.115505,0.136319,0.0475649
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","DisputeArises",1,0,1,0.499999,1,1,1,1,0.467664,0.269447,,,0.658057,,,,,0.0345171,0.115505,0.183883,0.258669,10.2763,9.54617,1000.04,999.513,0.177583,0.133435,0.248972,0.382407,0.0723604,0.209795,0,0,0.658057,0.310931,0.0385361,0.119524,0.00803792,0.499999,0,4.5156E-06,1,1,0,0,0.658057,0.0345171,0.115505,0.136319,0.0475649
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PFiles",1,0,1,0.499999,1,1,1,1,0.467664,0.269447,,,0.658057,,,,,0.0345171,0.115505,0.183883,0.258669,10.2763,9.54617,1000.04,999.513,0.177583,0.133435,0.248972,0.382407,0.0723604,0.209795,0,0,0.658057,0.310931,0.0385361,0.119524,0.00803792,0.499999,0,4.5156E-06,1,1,0,0,0.658057,0.0345171,0.115505,0.136319,0.0475649
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","DAnswers",1,0,1,0.499999,1,1,1,1,0.467664,0.269447,,,0.658057,,,,,0.0345171,0.115505,0.183883,0.258669,10.2763,9.54617,1000.04,999.513,0.177583,0.133435,0.248972,0.382407,0.0723604,0.209795,0,0,0.658057,0.310931,0.0385361,0.119524,0.00803792,0.499999,0,4.5156E-06,1,1,0,0,0.658057,0.0345171,0.115505,0.136319,0.0475649
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","Litigated",1,0,1,0.499999,1,1,1,1,0.467664,0.269447,,,0.658057,,,,,0.0345171,0.115505,0.183883,0.258669,10.2763,9.54617,1000.04,999.513,0.177583,0.133435,0.248972,0.382407,0.0723604,0.209795,0,0,0.658057,0.310931,0.0385361,0.119524,0.00803792,0.499999,0,4.5156E-06,1,1,0,0,0.658057,0.0345171,0.115505,0.136319,0.0475649
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","Settles",0.6581,0,0.658057,0.509737,1,1,1,1,0.268117,0.353745,,,1,,,,,0,0,0,,10.2359,9.61407,1000.05,999.668,0.15,0.0989408,0.296765,0.395706,0.0285566,0.238287,0,0,1,0.310931,0,0,0,0.507613,0,-0.563538,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","Tried",0.1839,0,0.183883,0.348383,1,1,1,1,0.880452,0.1,,,0,,,,,0,0,1,0.258669,10.0725,9.62753,999.962,999.467,0.3,0.204854,0.190657,0.395512,0.164354,0.220043,0,0,0,,0,0,0,0.302708,0,1.86891,1,1,0,0,0,0,0,0.741331,0.258669
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PWins",0.0476,0,0.0475649,0.564543,1,1,1,1,0.892483,0.1,,,0,,,,,0,0,1,1,10.925,8.775,1000.16,998.024,0.3,0.619356,0.0454233,0.664779,0.622441,0.00340675,0,0,0,,0,0,0,0.605644,0,1.38274,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","DWins",0.1363,0,0.136319,0.272959,1,1,1,1,0.876254,0.1,,,0,,,,,0,0,1,0,9.775,9.925,999.894,999.97,0.3,0.0602245,0.241333,0.301558,0.00451684,0.295633,0,0,0,,0,0,0,0.197007,0,2.03855,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","Abandoned",0.1581,0,0.15806,0.635844,1,1,1,1,0.818219,0.115618,,,0,,,,,0.21838,0.730766,0,,10.6812,9.16881,1000.11,998.923,0.15,0.193958,0.117837,0.311795,0.147707,0.079251,0,0,0,,0.243807,0.756193,0.0508537,0.697823,0,0.171979,1,1,0,0,0,0.21838,0.730766,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","Rounds1",0.992,0,0.991962,0.498351,1,1,1,1,0.46652,0.270769,,,0.663389,,,,,0.0347968,0.116441,0.185373,0.258669,10.275,9.54715,1000.04,999.515,0.177806,0.133338,0.247266,0.380604,0.0719841,0.207735,0,0,0.663389,0.310931,0.0347968,0.116441,0,0.497574,0,0.0133437,1,1,0,0,0.663389,0.0347968,0.116441,0.137423,0.0479503
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","Truly Liable",0.5,0,0.499999,0.716724,1,1,1,1,0.564096,0.417926,,,0.668078,,,,,0.0142816,0.193465,0.111326,0.517532,10.5021,9.33125,1000.09,999.235,0.166699,0.0279551,0.497945,0.5259,0.00404113,0.419592,0,0,0.668078,0.490372,0.0207061,0.19989,0.0128489,1,0,-0.584786,1,1,0,0,0.668078,0.0142816,0.193465,0.0537114,0.0576149
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","Truly Not Liable",0.5,0,0.500001,0.283275,1,1,1,1,0.371232,0.120969,,,0.648036,,,,,0.0547526,0.0375442,0.25644,0.146291,10.0504,9.76109,999.996,999.791,0.188466,0.238914,0,0.238914,0.140679,0,0,0,0.648036,0.125941,0.0563661,0.0391577,0.003227,0,0,0.584793,1,1,0,0,0.648036,0.0547526,0.0375442,0.218925,0.0375149
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 2,0.5","0.004388","0.9881","AllCount",3630,0,3630,0.499999,3630,3630,3630,3630,0.467664,0.269447,,,2388.75,,,,,125.297,419.282,667.497,108.641,10.2763,9.54617,1000.04,999.513,0.177583,0.133435,0.248972,0.382407,0.0723604,0.209795,0,0,2388.75,0.310931,139.886,433.871,29.1776,1815,0,4.5156E-06,3630,3630,0,0,2388.75,125.297,419.282,494.836,172.66
