"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","All",1,0,1,0.499999,1,1,1,1,0.534107,0.456323,,,0.758066,,,,,0.0278304,0.030122,0.18122,0.499981,10.413,9.40986,10.413,9.40986,0.177183,0.299839,0.28975,0.589589,0.201917,0.198933,0,0,0.758066,0.500538,0.0292109,0.0315025,0.00276101,0.499999,0,-5.093E-05,1,1,0,0,0.758066,0.0278304,0.030122,0.0906135,0.0906068
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","DisputeArises",1,0,1,0.499999,1,1,1,1,0.534107,0.456323,,,0.758066,,,,,0.0278304,0.030122,0.18122,0.499981,10.413,9.40986,10.413,9.40986,0.177183,0.299839,0.28975,0.589589,0.201917,0.198933,0,0,0.758066,0.500538,0.0292109,0.0315025,0.00276101,0.499999,0,-5.093E-05,1,1,0,0,0.758066,0.0278304,0.030122,0.0906135,0.0906068
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","PFiles",1,0,1,0.499999,1,1,1,1,0.534107,0.456323,,,0.758066,,,,,0.0278304,0.030122,0.18122,0.499981,10.413,9.40986,10.413,9.40986,0.177183,0.299839,0.28975,0.589589,0.201917,0.198933,0,0,0.758066,0.500538,0.0292109,0.0315025,0.00276101,0.499999,0,-5.093E-05,1,1,0,0,0.758066,0.0278304,0.030122,0.0906135,0.0906068
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","DAnswers",1,0,1,0.499999,1,1,1,1,0.534107,0.456323,,,0.758066,,,,,0.0278304,0.030122,0.18122,0.499981,10.413,9.40986,10.413,9.40986,0.177183,0.299839,0.28975,0.589589,0.201917,0.198933,0,0,0.758066,0.500538,0.0292109,0.0315025,0.00276101,0.499999,0,-5.093E-05,1,1,0,0,0.758066,0.0278304,0.030122,0.0906135,0.0906068
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","Litigated",1,0,1,0.499999,1,1,1,1,0.534107,0.456323,,,0.758066,,,,,0.0278304,0.030122,0.18122,0.499981,10.413,9.40986,10.413,9.40986,0.177183,0.299839,0.28975,0.589589,0.201917,0.198933,0,0,0.758066,0.500538,0.0292109,0.0315025,0.00276101,0.499999,0,-5.093E-05,1,1,0,0,0.758066,0.0278304,0.030122,0.0906135,0.0906068
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","Settles",0.7581,0,0.758066,0.500009,1,1,1,1,0.491197,0.509879,,,1,,,,,0,0,0,,10.4255,9.42446,10.4255,9.42446,0.15,0.28775,0.287225,0.574975,0.166709,0.166097,0,0,1,0.500538,0,0,0,0.500012,0,-0.000447831,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","Tried",0.1812,0,0.18122,0.499901,1,1,1,1,0.671491,0.278224,,,0,,,,,0,0,1,0.499981,10.35,9.35002,10.35,9.35002,0.3,0.345257,0.304574,0.649832,0.315939,0.309718,0,0,0,,0,0,0,0.499878,0,0.019509,1,1,0,0,0,0,0,0.500019,0.499981
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","PWins",0.0906,0,0.0906068,0.532791,1,1,1,1,0.671629,0.278231,,,0,,,,,0,0,1,1,10.85,8.85,10.85,8.85,0.3,0.60941,0.0810885,0.690498,0.619733,0.0121633,0,0,0,,0,0,0,0.54059,0,0.0194976,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","DWins",0.0906,0,0.0906135,0.467013,1,1,1,1,0.671353,0.278217,,,0,,,,,0,0,1,0,9.85,9.85,9.85,9.85,0.3,0.0811248,0.528043,0.609168,0.0121687,0.60725,0,0,0,,0,0,0,0.459168,0,0.0195204,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","Abandoned",0.0607,0,0.0607134,0.500165,1,1,1,1,0.659807,0.319214,,,0,,,,,0.458389,0.496135,0,,10.4439,9.40613,10.4439,9.40613,0.15,0.315212,0.277021,0.592233,0.301179,0.278245,0,0,0,,0.481127,0.518873,0.0454761,0.500203,0,-0.0534786,1,1,0,0,0,0.458389,0.496135,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Risk Neutral Noise 4,4","0.02311","0.9902","Rounds1",0.9972,0,0.997239,0.499996,1,1,1,1,0.53369,0.4567,,,0.760165,,,,,0.0279074,0.0302054,0.181722,0.499981,10.4129,9.40982,10.4129,9.40982,0.177258,0.299823,0.289754,0.589577,0.201671,0.198677,0,0,0.760165,0.500538,0.0279074,0.0302054,0,0.499995,0,0.000403435,1,1,0,0,0.760165,0.0279074,0.0302054,0.0908644,0.0908576
