"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 4,4","0.06907","0.9964","All",1,0,1,0.499999,1,1,1,1,0.551736,0.524574,,,0.605369,,,,,0.0626753,0.104216,0.192923,0.499635,10.465,9.35605,1000.09,999.352,0.178938,0.330418,0.263529,0.593948,0.260146,0.195652,0,0,0.605369,0.555805,0.0800839,0.121624,0.0348173,0.499999,0,-5.093E-05,1,1,0,0,0.605369,0.0626753,0.104216,0.0965318,0.0963909
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 4,4","0.06907","0.9964","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 4,4","0.06907","0.9964","DisputeArises",1,0,1,0.499999,1,1,1,1,0.551736,0.524574,,,0.605369,,,,,0.0626753,0.104216,0.192923,0.499635,10.465,9.35605,1000.09,999.352,0.178938,0.330418,0.263529,0.593948,0.260146,0.195652,0,0,0.605369,0.555805,0.0800839,0.121624,0.0348173,0.499999,0,-5.093E-05,1,1,0,0,0.605369,0.0626753,0.104216,0.0965318,0.0963909
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 4,4","0.06907","0.9964","PFiles",1,0,1,0.499999,1,1,1,1,0.551736,0.524574,,,0.605369,,,,,0.0626753,0.104216,0.192923,0.499635,10.465,9.35605,1000.09,999.352,0.178938,0.330418,0.263529,0.593948,0.260146,0.195652,0,0,0.605369,0.555805,0.0800839,0.121624,0.0348173,0.499999,0,-5.093E-05,1,1,0,0,0.605369,0.0626753,0.104216,0.0965318,0.0963909
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 4,4","0.06907","0.9964","DAnswers",1,0,1,0.499999,1,1,1,1,0.551736,0.524574,,,0.605369,,,,,0.0626753,0.104216,0.192923,0.499635,10.465,9.35605,1000.09,999.352,0.178938,0.330418,0.263529,0.593948,0.260146,0.195652,0,0,0.605369,0.555805,0.0800839,0.121624,0.0348173,0.499999,0,-5.093E-05,1,1,0,0,0.605369,0.0626753,0.104216,0.0965318,0.0963909
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 4,4","0.06907","0.9964","Litigated",1,0,1,0.499999,1,1,1,1,0.551736,0.524574,,,0.605369,,,,,0.0626753,0.104216,0.192923,0.499635,10.465,9.35605,1000.09,999.352,0.178938,0.330418,0.263529,0.593948,0.260146,0.195652,0,0,0.605369,0.555805,0.0800839,0.121624,0.0348173,0.499999,0,-5.093E-05,1,1,0,0,0.605369,0.0626753,0.104216,0.0965318,0.0963909
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 4,4","0.06907","0.9964","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 4,4","0.06907","0.9964","Settles",0.6054,0,0.605369,0.500724,1,1,1,1,0.47045,0.64116,,,1,,,,,0,0,0,,10.4808,9.36919,1000.11,999.495,0.15,0.31476,0.259985,0.574745,0.211393,0.147838,0,0,1,0.555805,0,0,0,0.500896,0,-0.00245474,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 4,4","0.06907","0.9964","Tried",0.1929,0,0.192923,0.498055,1,1,1,1,0.670693,0.349816,,,0,,,,,0,0,1,0.499635,10.3496,9.35037,1000.04,999.131,0.3,0.34637,0.30326,0.649629,0.317218,0.308403,0,0,0,,0,0,0,0.497593,0,-0.00328378,1,1,0,0,0,0,0,0.500365,0.499635
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 4,4","0.06907","0.9964","PWins",0.0964,0,0.0963909,0.530972,1,1,1,1,0.670586,0.349744,,,0,,,,,0,0,1,1,10.85,8.85,1000.15,998.326,0.3,0.611663,0.0807506,0.692413,0.622662,0.0121126,0,0,0,,0,0,0,0.538337,0,-0.00475818,1,1,0,0,0,0,0,0,1
