"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 2,2","0.06673","0.9946","All",1,0,1,0.5,1,1,1,1,0.499881,0.503835,,,0.755417,,,,,0.0626206,0.0566185,0.10016,0.494252,10.4138,9.4212,1000.09,999.452,0.165024,0.295284,0.284358,0.579642,0.206722,0.205972,0,0,0.755417,0.500166,0.0752126,0.0692105,0.0251841,0.5,0,-3.9756E-06,1,1,0,0,0.755417,0.0626206,0.0566185,0.0506559,0.0495045
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 2,2","0.06673","0.9946","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 2,2","0.06673","0.9946","DisputeArises",1,0,1,0.5,1,1,1,1,0.499881,0.503835,,,0.755417,,,,,0.0626206,0.0566185,0.10016,0.494252,10.4138,9.4212,1000.09,999.452,0.165024,0.295284,0.284358,0.579642,0.206722,0.205972,0,0,0.755417,0.500166,0.0752126,0.0692105,0.0251841,0.5,0,-3.9756E-06,1,1,0,0,0.755417,0.0626206,0.0566185,0.0506559,0.0495045
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 2,2","0.06673","0.9946","PFiles",1,0,1,0.5,1,1,1,1,0.499881,0.503835,,,0.755417,,,,,0.0626206,0.0566185,0.10016,0.494252,10.4138,9.4212,1000.09,999.452,0.165024,0.295284,0.284358,0.579642,0.206722,0.205972,0,0,0.755417,0.500166,0.0752126,0.0692105,0.0251841,0.5,0,-3.9756E-06,1,1,0,0,0.755417,0.0626206,0.0566185,0.0506559,0.0495045
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 2,2","0.06673","0.9946","DAnswers",1,0,1,0.5,1,1,1,1,0.499881,0.503835,,,0.755417,,,,,0.0626206,0.0566185,0.10016,0.494252,10.4138,9.4212,1000.09,999.452,0.165024,0.295284,0.284358,0.579642,0.206722,0.205972,0,0,0.755417,0.500166,0.0752126,0.0692105,0.0251841,0.5,0,-3.9756E-06,1,1,0,0,0.755417,0.0626206,0.0566185,0.0506559,0.0495045
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 2,2","0.06673","0.9946","Litigated",1,0,1,0.5,1,1,1,1,0.499881,0.503835,,,0.755417,,,,,0.0626206,0.0566185,0.10016,0.494252,10.4138,9.4212,1000.09,999.452,0.165024,0.295284,0.284358,0.579642,0.206722,0.205972,0,0,0.755417,0.500166,0.0752126,0.0692105,0.0251841,0.5,0,-3.9756E-06,1,1,0,0,0.755417,0.0626206,0.0566185,0.0506559,0.0495045
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 2,2","0.06673","0.9946","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 2,2","0.06673","0.9946","Settles",0.7554,0,0.755417,0.499581,1,1,1,1,0.447264,0.553068,,,1,,,,,0,0,0,,10.4252,9.42483,1000.11,999.584,0.15,0.287038,0.286278,0.573316,0.170008,0.169548,0,0,1,0.500166,0,0,0,0.499483,0,0.00611104,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 2,2","0.06673","0.9946","Tried",0.1002,0,0.10016,0.490928,1,1,1,1,0.659086,0.367374,,,0,,,,,0,0,1,0.494252,10.3417,9.35833,999.976,998.663,0.3,0.369099,0.245098,0.614197,0.391074,0.33701,0,0,0,,0,0,0,0.488751,0,-0.00523745,1,1,0,0,0,0,0,0.505748,0.494252
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 2,2","0.06673","0.9946","PWins",0.0495,0,0.0495045,0.60321,1,1,1,1,0.657886,0.365217,,,0,,,,,0,0,1,1,11.075,8.625,1000.16,997.268,0.3,0.746782,0,0.746782,0.791243,0,0,0,0,,0,0,0,0.628218,0,-0.00161745,1,1,0,0,0,0,0,0,1
