Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,0.6,0
D Doesn't Answer,False Negatives,Probabilities,0.847321375686325,0.0602391513523114
Settles,False Negatives,Values,1.5,1.4,1.3,1.2,1.1,1,0.9,0
Settles,False Negatives,Probabilities,0.029929917171340473,3.1906103946650645E-17,1.5967225779253594E-17,2.2719150252693848E-18,3.0156936036004603E-18,1.3143836796406468E-19,8.320771090478318E-20,0.03308971846496169
P Abandons,False Negatives,Values,1.6,0
P Abandons,False Negatives,Probabilities,0.012151799452524072,0.00500604472839439
D Defaults,False Negatives,Values,0.6,0
D Defaults,False Negatives,Probabilities,0.0045279674786674095,0.0006169309433311237
P Loses,False Negatives,Values,3.4,0
P Loses,False Negatives,Probabilities,0.002622962825888871,0.0007552633454115775
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.00029055041924391046,0.0034483181315993977
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.0602391513523114,0.847321375686325
Settles,False Positives,Values,1.2999999999999998,1.2,1.1,1,0.8999999999999999,0.8,0.7,0.2999999999999998,0.19999999999999996,0.10000000000000009,0
Settles,False Positives,Probabilities,1.2306596979343345E-20,2.2359906558983843E-20,5.151866950966154E-19,5.850342060342942E-19,6.286791474929229E-18,2.088310820712454E-17,0.033089718464961684,8.320771090478318E-20,1.3143836796406468E-19,3.0156936036004603E-18,0.029929917171340498
P Abandons,False Positives,Values,0.6,0
P Abandons,False Positives,Probabilities,0.00500604472839439,0.012151799452524072
D Defaults,False Positives,Values,1.6,0.6000000000000001
D Defaults,False Positives,Probabilities,0.0006169309433311237,0.0045279674786674095
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.0007552633454115775,0.002622962825888871
P Wins,False Positives,Values,3.4,2.4
P Wins,False Positives,Probabilities,0.00029055041924391046,0.0034483181315993977
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0.0602391513523114,0.847321375686325
Settles,Total Expenditures,Values,1.2000000000000002,1.2000000000000002,1.2,1.2,1.1999999999999997,1.1999999999999997
Settles,Total Expenditures,Probabilities,5.151866950966154E-19,3.0156936036004603E-18,0.03308971846496169,0.029929917171340498,1.2306596979343345E-20,8.320771090478318E-20
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0.00500604472839439,0.012151799452524072
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0.0006169309433311237,0.0045279674786674095
P Loses,Total Expenditures,Values,2.4,2.4
P Loses,Total Expenditures,Probabilities,0.0007552633454115775,0.002622962825888871
P Wins,Total Expenditures,Values,2.4,2.4
P Wins,Total Expenditures,Probabilities,0.00029055041924391046,0.0034483181315993977
