Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,1,0.75,0.5,0.25,0,0
P Doesn't File,False Negatives,Probabilities,0.00032100881434866474,0.03177561358587249,0.16827196001621877,0.19973119036253653,0,0.2000002272210237
D Doesn't Answer,False Negatives,Values,0.30000000000000004,0.050000000000000044,0,0
D Doesn't Answer,False Negatives,Probabilities,0.05547771514577579,0.009073458901158127,0,1.466456273715371E-05
Settles,False Negatives,Values,1,0.8999999999999999,0.8,0.75,0.7,0.6499999999999999,0.6000000000000001,0.55,0.5,0.45,0.39999999999999997,0.3999999999999999,0.35000000000000003,0.3,0.25,0.2,0.14999999999999997,0.1499999999999999,0.10000000000000003,0.04999999999999999,0,0
Settles,False Negatives,Probabilities,0.003427910436489831,0.00627730429394375,0.01441099305983658,0.0279329081997038,0.011153410219292451,0.03432035058818606,0.02374495002403372,0.03894491667101422,0.023708586994897907,0.01416845751636475,0.005273450356279417,0.004689549156644959,0.006524852161203047,0.0020743559352032802,0.0015714813838920106,0.0006310752176425771,7.661872696440276E-06,0.0007926597787840778,8.743973146750611E-05,8.050968593389961E-07,0,1.6820407944738E-05
P Abandons,False Negatives,Values,1.3,1.05,0.8,0.55,0.3,0
P Abandons,False Negatives,Probabilities,0.0025608334481771427,0.009844272547479938,0.005953667907351486,0.0001958311526667878,5.7576699510429115E-08,0
D Defaults,False Negatives,Values,0.30000000000000004,0.050000000000000044,0,0
D Defaults,False Negatives,Probabilities,0.03172572254356644,0.011458378054743373,0,0.000335680359427878
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,2.5,2.25,2,1.75,1.5,1.35,1.25,1.1,1,0.85,0.6,0.35,0.09999999999999998,0,0
P Wins,False Negatives,Probabilities,7.887188488947738E-08,2.3477431355720283E-05,0.0009645041910230883,0.0015595453987303908,2.017330557691359E-05,4.506623496442767E-06,3.2564734183497374E-09,0.0005262703286112311,9.705344845463714E-16,0.013792653097789317,0.03305848619434945,0.003519336561015891,3.0728300645519305E-05,0,1.5136882767920246E-08
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0,0.6001000000000001
D Doesn't Answer,False Positives,Values,1,1,0.75,0.5,0.25,0
D Doesn't Answer,False Positives,Probabilities,0,3.577827022259834E-20,2.6614533684563836E-11,1.466453612261999E-05,0.009073458901158127,0.05547771514577579
Settles,False Positives,Values,1.2,1.2,1.1,1.1,1,1,0.95,0.8999999999999999,0.8999999999999999,0.8500000000000001,0.8,0.8,0.75,0.7,0.7,0.6499999999999999,0.6000000000000001,0.6,0.6,0.55,0.5,0.44999999999999996,0.3999999999999999,0.3500000000000001,0.35,0.30000000000000004,0.25,0.19999999999999996,0.1499999999999999,0.10000000000000009,0.09999999999999998,0.050000000000000044,0
Settles,False Positives,Probabilities,0,5.526492469147452E-19,0,9.02518033329377E-15,0,3.486528735302158E-14,1.245891324071656E-11,0,3.865723220379829E-13,4.311007161739672E-09,0,1.7521114956767603E-12,1.872767607127633E-08,0,1.4876272069436224E-06,1.8984804681773122E-07,1.5119800664876083E-05,0,7.870137947524316E-11,8.050968593389961E-07,8.743973146750611E-05,0.0008003216514805183,0.0006310752176425771,0.001540834809043214,3.064657484879695E-05,0.0020743559352032802,0.006524852161203047,0.009962999512924377,0.01416845751636475,0.007704194817233731,0.016004392177664178,0.03894491667101422,0.12126782682148614
P Abandons,False Positives,Values,0.3,0.3,0.04999999999999999,0
P Abandons,False Positives,Probabilities,0,5.7576699510429115E-08,0.0001958311526667878,0.018358773903008566
D Defaults,False Positives,Values,1.3,1.3,1.05,0.8,0.55,0.30000000000000004
D Defaults,False Positives,Probabilities,0,6.385207850305124E-13,2.620935819701027E-07,0.0003354182652073871,0.011458378054743373,0.03172572254356644
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,1.6,1.6,1.35,1.35,1.1,1.1,0.8500000000000001,0.85,0.85,0.6000000000000001,0.6,0.3500000000000001,0.35,0.20000000000000007,0.20000000000000007,0.10000000000000009,0.09999999999999998,0,0
P Wins,False Positives,Probabilities,0,2.067841706076483E-14,0,1.5136862089503193E-08,0,3.0728300645519305E-05,0.003519333459207493,0,3.1018083980496073E-09,0.03304129294920296,1.719324514649791E-05,0.013597995938628153,0.0001946571591611634,0,9.705344845463714E-16,0.0004759079775729395,5.036235103829175E-05,0,0.0025722890785408632
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0,0.6001000000000001
D Doesn't Answer,Total Expenditures,Values,0.30000000000000004,0.30000000000000004
D Doesn't Answer,Total Expenditures,Probabilities,0,0.06456583860967108
Settles,Total Expenditures,Values,0.6000000000000001,0.6000000000000001,0.6,0.6,0.5999999999999999,0.5999999999999999
Settles,Total Expenditures,Probabilities,0,0.09504848514703869,0,0.047395857467408,0,0.07731559648793376
P Abandons,Total Expenditures,Values,0.6,0.6
P Abandons,Total Expenditures,Probabilities,0,0.018554662632374857
D Defaults,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
D Defaults,Total Expenditures,Probabilities,0,0.0435197809577377
P Loses,Total Expenditures,Values,
P Loses,Total Expenditures,Probabilities,
P Wins,Total Expenditures,Values,1.2000000000000002,1.2000000000000002,1.2,1.2
P Wins,Total Expenditures,Probabilities,0,0.05323305621718523,0,0.0002667224806507938
