Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,1,0.75,0.5,0.25,0,0
P Doesn't File,False Negatives,Probabilities,0.0003210088143486648,0.03177561358587249,0.1682719600162188,0.19973119036253661,0,0.20000022722102376
D Doesn't Answer,False Negatives,Values,0.6,0.35,0.09999999999999998,0,0
D Doesn't Answer,False Negatives,Probabilities,0.19469932931252987,0.127166048648215,0.0044121962154213355,0,3.199296289126723E-07
Settles,False Negatives,Values,1.5,1.4,1.3,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,0.8999999999999999,0.85,0.8,0.7999999999999999,0.75,0.7,0.65,0.6499999999999999,0.6,0.55,0.5499999999999999,0.5,0.45,0.44999999999999996,0.4,0.39999999999999997,0.35,0.3,0.29999999999999993,0.25,0.2,0.19999999999999996,0.15000000000000002,0.09999999999999998,0.04999999999999993,0,0
Settles,False Negatives,Probabilities,0.00010166114058767929,7.497651118019375E-05,0.00040735830835181297,0.01363701197191644,0.00011419584153225268,0.002666387414196995,0.002399520520545369,0.007133564177558813,0.016705252139547842,0.0018294758094017666,0.0003697384619594505,0.0017734316985057099,0.004467360913375649,0.0020332628473013663,4.655432449994069E-06,0.0007744345750562413,0.00039854994826730983,0.00047841717627491716,3.4207762328143986E-06,0.0005615386649355593,3.4869046602932407E-06,3.7523151802142642E-06,5.3508569400044553E-05,2.1131945434350026E-07,4.1369201135985725E-06,3.4228040655115333E-05,8.787082263224256E-12,8.726376165835505E-07,8.913584005762493E-12,2.3761258967367444E-08,7.51287779236492E-08,5.356558243489629E-13,2.3560326615769334E-08,4.743795541685862E-08,2.222257496235568E-12,8.61147805198826E-13,0,1.1643676285926387E-12
P Abandons,False Negatives,Values,1.6,1.35,1.1,0.85,0.6,0
P Abandons,False Negatives,Probabilities,2.9535939423764576E-05,0.003701453395118578,0.004347693909766718,4.9671361540433326E-05,1.2819427548221832E-08,0
D Defaults,False Negatives,Values,0.6,0.35,0.09999999999999998,0,0
D Defaults,False Negatives,Probabilities,0.0005416252315112572,0.0009404466675537341,0.00015395885340714605,0,2.668911377289238E-07
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,4.6,4.35,4.1,3.8499999999999996,3.5999999999999996,3.3499999999999996,3.0999999999999996,1.95,1.7,1.45,1.2,0.95,0.7,0.44999999999999996,0.19999999999999996,0
P Wins,False Negatives,Probabilities,1.1655573911346548E-09,2.574666881117021E-06,5.012198356223776E-05,2.4060131228713395E-05,2.6955851823764336E-07,4.897338066417167E-12,3.317375929349929E-20,2.089467874387351E-07,0.00013135592348247004,0.0018477928734985942,0.004032926079724904,0.0016969900079873493,3.655116616247751E-05,7.3699595629256735E-09,8.936424229847304E-15,0
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0,0.6001000000000002
D Doesn't Answer,False Positives,Values,1,1,0.75,0.5,0.25,0
D Doesn't Answer,False Positives,Probabilities,0,2.0387093373972063E-14,3.199296085255789E-07,0.0044121962154213355,0.127166048648215,0.19469932931252987
Settles,False Positives,Values,1.5,1.5,1.4,1.4,1.2999999999999998,1.2999999999999998,1.25,1.2,1.2,1.15,1.1,1.1,1.0499999999999998,1,1,0.95,0.8999999999999999,0.8999999999999999,0.8500000000000001,0.8,0.8,0.7999999999999998,0.75,0.7,0.7,0.6499999999999999,0.6000000000000001,0.55,0.5499999999999998,0.5,0.44999999999999996,0.3999999999999999,0.3500000000000001,0.30000000000000004,0.2999999999999998,0.25,0.19999999999999996,0.1499999999999999,0.10000000000000009,0.050000000000000044,0
Settles,False Positives,Probabilities,0,4.568437736631393E-20,0,4.6076073531166655E-20,0,1.2018099076251907E-13,8.538271229701295E-13,0,1.903594230995394E-13,8.61147805198826E-13,0,2.222257496235568E-12,4.743795541685862E-08,0,2.356086227159368E-08,7.51287779236492E-08,0,2.3770172551373208E-08,8.726376165835505E-07,0,8.787082263224256E-12,3.4228040655115333E-05,4.348239567942073E-06,0,5.3508569400044553E-05,7.239219840507504E-06,0.0005615386649355593,3.4207762328143986E-06,0.00047841717627491716,0.00039854994826730983,0.0007744345750562413,0.00203791827975136,0.004467360913375649,0.0017734316985057099,0.0003697384619594505,0.0018294758094017666,0.016705252139547842,0.007133564177558813,0.002399520520545369,0.002666387414196995,0.014335203773568377
P Abandons,False Positives,Values,0.6,0.6,0.35,0.09999999999999998,0
P Abandons,False Positives,Probabilities,0,1.2819427548221832E-08,4.9671361540433326E-05,0.004347693909766718,0.003730989334542343
D Defaults,False Positives,Values,1.6,1.6,1.35,1.1,0.8500000000000001,0.6000000000000001
D Defaults,False Positives,Probabilities,0,6.833312166883109E-13,2.668904543977072E-07,0.00015395885340714605,0.0009404466675537341,0.0005416252315112572
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,2.2,2.2,1.9500000000000002,1.95,1.95,1.7000000000000002,1.7,1.7,1.4500000000000002,1.45,1.45,1.2000000000000002,1.2,0.95,0.7,0.44999999999999996,0,0
P Wins,False Positives,Probabilities,0,8.936424229847304E-15,7.367464325688086E-09,0,2.495237237587798E-12,3.616643617049992E-05,0,3.8472999197760514E-07,0.0013207804718460934,0,0.0003762095361412568,0.0003767718706399951,0.0036561542090849104,0.0018477928734985942,0.00013135592348247004,2.089467874387351E-07,0,7.702751064503508E-05
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0,0.6001000000000002
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0,0.3262778941057952
Settles,Total Expenditures,Values,1.2000000000000002,1.2000000000000002,1.2,1.2,1.1999999999999997,1.1999999999999997
Settles,Total Expenditures,Probabilities,0,0.007429292738695417,0,0.04771442558165057,0,0.0008908626267154044
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0,0.00812836742527704
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0,0.0016362976436098662
P Loses,Total Expenditures,Values,
P Loses,Total Expenditures,Probabilities,
P Wins,Total Expenditures,Values,2.4000000000000004,2.4000000000000004,2.4,2.4,2.3999999999999995,2.3999999999999995
P Wins,Total Expenditures,Probabilities,0,0.0017337261461298514,0,0.006012106221481887,0,7.702751064503508E-05
