Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,1,0.75,0.5,0.25,0,0
P Doesn't File,False Negatives,Probabilities,0.010250039080200012,0.013882084993277947,0.0551070646686428,0.17326040112551072,0,0.19973050273457832
D Doesn't Answer,False Negatives,Values,0.6,0.35,0.09999999999999998,0,0
D Doesn't Answer,False Negatives,Probabilities,0.18401569366427334,0.1688038137023563,0.09408782844976704,0,0.003127865102145973
Settles,False Negatives,Values,1.5,1.4,1.3,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,0.8999999999999999,0.85,0.8,0.7999999999999999,0.75,0.7,0.65,0.6499999999999999,0.6,0.55,0.5499999999999999,0.5,0.45,0.44999999999999996,0.4,0.39999999999999997,0.35,0.3,0.29999999999999993,0.25,0.2,0.19999999999999996,0.15000000000000002,0.09999999999999998,0.04999999999999993,0,0
Settles,False Negatives,Probabilities,3.6220842284202165E-05,4.134788410946216E-05,0.0001087229912434207,0.0007656414875448795,9.891799801608987E-05,0.0006896957845334561,0.0003614875858486793,0.0014669824625073065,0.009188105325362699,0.0007877373423168925,0.0006036440066728153,0.007330507683993055,0.0010424265991096835,0.008648871095225155,0.0003556852710712716,0.005857897536604821,0.0013675451684206947,0.0009294442684477709,0.00441122180290951,0.000990867928675382,0.004606724072888456,0.0006513330512250947,0.0006145103310880657,1.5810005997260322E-05,0.0003824980670039845,0.00024455772758942486,5.108139436402885E-05,3.568424704537354E-05,5.297038358056536E-05,0.00015050206100352922,1.9158643593582245E-05,1.6171760630861828E-09,8.024162133982007E-05,4.998725232258015E-06,3.6403973387802607E-09,2.420082469270732E-06,0,1.7115342678613823E-06
P Abandons,False Negatives,Values,1.6,1.35,1.1,0.85,0.6,0
P Abandons,False Negatives,Probabilities,7.389244786114418E-05,0.0005497346400047366,0.002953218557599485,0.0018677252135344857,2.1834538374340658E-05,0
D Defaults,False Negatives,Values,0.6,0.35,0.09999999999999998,0,0
D Defaults,False Negatives,Probabilities,0.0015435196677295823,0.0064349089785095985,0.009774021119014358,0,0.00033769536290007826
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,2.8,2.55,2.3,2.05,1.95,1.7999999999999998,1.7,1.5499999999999998,1.45,1.2999999999999998,1.2,0.95,0.7,0.44999999999999996,0.19999999999999996,0
P Wins,False Negatives,Probabilities,3.7155212501842847E-09,2.0031824880450856E-06,0.00028839820499763533,0.002478074878589235,3.0650938885153367E-07,0.0006797130755529651,6.038874256179532E-05,4.362889551865258E-06,0.0027950578456702605,9.949733692268861E-12,0.010737940164057,0.00473728044206834,0.00039426693409743834,3.180915181618924E-06,1.728811880472235E-10,0
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0,0.4522300926022098
D Doesn't Answer,False Positives,Values,1,1,0.75,0.5,0.25,0
D Doesn't Answer,False Positives,Probabilities,0,3.179722488115076E-07,0.003127547129897162,0.09408782844976704,0.1688038137023563,0.18401569366427334
Settles,False Positives,Values,1.5,1.5,1.4,1.4,1.2999999999999998,1.2999999999999998,1.25,1.2,1.2,1.15,1.1,1.1,1.0499999999999998,1,1,0.95,0.8999999999999999,0.8999999999999999,0.8500000000000001,0.8,0.8,0.7999999999999998,0.75,0.7,0.7,0.6499999999999999,0.6000000000000001,0.55,0.5499999999999998,0.5,0.44999999999999996,0.3999999999999999,0.3500000000000001,0.30000000000000004,0.2999999999999998,0.25,0.19999999999999996,0.1499999999999999,0.10000000000000009,0.050000000000000044,0
Settles,False Positives,Probabilities,0,1.69265296123278E-10,0,2.338383470013856E-10,0,4.934335731179502E-10,1.7086868624457335E-06,0,1.9508681994064807E-09,2.420082469270732E-06,0,3.6403973387802607E-09,4.998725232258015E-06,0,8.024323851588315E-05,1.9158643593582245E-05,0,0.00020347244458409462,3.568424704537354E-05,0,5.108139436402885E-05,0.00024455772758942486,0.0003983080730012449,0,0.0006145103310880657,0.005258057124113552,0.000990867928675382,0.00441122180290951,0.0009294442684477709,0.0013675451684206947,0.005857897536604821,0.009004556366296426,0.0010424265991096835,0.007330507683993055,0.0006036440066728153,0.0007877373423168925,0.009188105325362699,0.0014669824625073065,0.0003614875858486793,0.0006896957845334561,0.0010508512031980552
P Abandons,False Positives,Values,0.6,0.6,0.35,0.09999999999999998,0
P Abandons,False Positives,Probabilities,0,2.1834538374340658E-05,0.0018677252135344857,0.002953218557599485,0.0006236270878658815
D Defaults,False Positives,Values,1.6,1.6,1.35,1.1,0.8500000000000001,0.6000000000000001
D Defaults,False Positives,Probabilities,0,3.43267325046901E-08,0.0003376610361675742,0.009774021119014358,0.0064349089785095985,0.0015435196677295823
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,2.2,2.2,1.9500000000000002,1.95,1.95,1.7000000000000002,1.7,1.7,1.4500000000000002,1.45,1.45,1.2000000000000002,1.2,1.1,1.1,0.95,0.8500000000000001,0.85,0.85,0.7,0.6000000000000001,0.6,0.6,0.44999999999999996,0.3500000000000001,0.35,0.10000000000000009,0.09999999999999998,0
